지역,2023 년 대전 출발,2023 년 대전 도착
서울,"93,404","2,579,992"
부산,"1,313,504","499,720"
대구,"50,782","151,065"
인천,"176,803","644,155"
광주,"36,722","222,756"
세종,"26,410","328,454"
대전,"744,614","744,614"
울산,"87,049","178,063"
경기,"326,228","4,882,808"
강원,"28,579","1,015,145"
충북,"180,756","2,273,988"
충남,"243,034","5,077,334"
전북,"104,010","1,028,214"
전남,"110,047","642,219"
경북,"192,106","807,340"
경남,"145,714","431,977"
제주,0,0
