지역,2021 년 대전 출발,2021 년 대전 도착
서울,"181,335","340,934"
부산,"1,449,224","720,759"
대구,"85,756","312,078"
인천,"247,595","1,041,055"
광주,"71,934","226,657"
세종,"113,024","597,467"
대전,"4,041,811","4,041,811"
울산,"219,687","172,952"
경기,"871,498","3,183,600"
강원,"113,149","610,815"
충북,"712,155","1,615,031"
충남,"876,909","2,707,191"
전북,"193,770","2,057,164"
전남,"272,482","1,236,053"
경북,"560,180","954,677"
경남,"287,143","765,900"
제주,0,0
