지역,2022 년 대전 출발,2022 년 대전 도착
서울,"114,558","2,727,886"
부산,"1,324,433","524,481"
대구,"59,504","188,609"
인천,"183,959","641,622"
광주,"42,701","234,760"
세종,"33,034","326,576"
대전,"908,460","908,460"
울산,"91,243","176,750"
경기,"369,642","5,055,054"
강원,"37,007","1,281,678"
충북,"224,541","2,282,543"
충남,"276,818","2,378,267"
전북,"128,437","1,136,717"
전남,"124,472","712,396"
경북,"209,138","812,770"
경남,"168,716","430,383"
제주,0,0
