지역,2019 년 대전 출발,2019 년 대전 도착
서울,"173,498","325,791"
부산,"1,310,958","701,147"
대구,"76,617","332,431"
인천,"239,921","816,600"
광주,"69,417","210,551"
세종,"111,453","649,624"
대전,"3,866,207","3,866,207"
울산,"235,116","303,950"
경기,"884,474","2,587,443"
강원,"113,745","625,769"
충북,"724,716","1,557,682"
충남,"934,311","2,347,961"
전북,"202,801","1,989,114"
전남,"285,561","1,308,980"
경북,"562,870","1,077,966"
경남,"273,715","939,013"
제주,0,0
