권역,구분,도시명,2021년_물동량,2022년_물동량,물동량_변화량,code
충청권,도착,대전광역시,4041811,908460,-3133351,25
충청권,출발,대전광역시,4041811,908460,-3133351,25
수도권,도착,서울특별시,340934,2727886,2386952,11
수도권,도착,경기도,3183600,5055054,1871454,31
호남권,도착,전라북도,2057164,1136717,-920447,35
기타,도착,강원도,610815,1281678,670863,32
충청권,도착,충청북도,1615031,2282543,667512,33
충청권,출발,충청남도,876909,276818,-600091,34
호남권,도착,전라남도,1236053,712396,-523657,36
수도권,출발,경기도,871498,369642,-501856,31
충청권,출발,충청북도,712155,224541,-487614,33
수도권,도착,인천광역시,1041055,641622,-399433,23
영남권,출발,경상북도,560180,209138,-351042,37
영남권,도착,경상남도,765900,430383,-335517,38
충청권,도착,충청남도,2707191,2378267,-328924,34
충청권,도착,세종특별자치시,597467,326576,-270891,29
영남권,도착,부산광역시,720759,524481,-196278,21
호남권,출발,전라남도,272482,124472,-148010,36
영남권,도착,경상북도,954677,812770,-141907,37
영남권,출발,울산광역시,219687,91243,-128444,26
영남권,출발,부산광역시,1449224,1324433,-124791,21
영남권,도착,대구광역시,312078,188609,-123469,22
영남권,출발,경상남도,287143,168716,-118427,38
충청권,출발,세종특별자치시,113024,33034,-79990,29
기타,출발,강원도,113149,37007,-76142,32
수도권,출발,서울특별시,181335,114558,-66777,11
호남권,출발,전라북도,193770,128437,-65333,35
수도권,출발,인천광역시,247595,183959,-63636,23
호남권,출발,광주광역시,71934,42701,-29233,24
영남권,출발,대구광역시,85756,59504,-26252,22
호남권,도착,광주광역시,226657,234760,8103,24
영남권,도착,울산광역시,172952,176750,3798,26
기타,출발,제주특별자치도,0,0,0,39
기타,도착,제주특별자치도,0,0,0,39
