"권역","도시명","구분","물동량"
"수도권","서울","출발","114558"
"영남권","부산","출발","1324433"
"영남권","대구","출발","59504"
"수도권","인천","출발","183959"
"호남권","광주","출발","42701"
"충청권","세종","출발","33034"
"충청권","대전","출발","908460"
"영남권","울산","출발","91243"
"수도권","경기","출발","369642"
"기타","강원","출발","37007"
"충청권","충북","출발","224541"
"충청권","충남","출발","276818"
"호남권","전북","출발","128437"
"호남권","전남","출발","124472"
"영남권","경북","출발","209138"
"영남권","경남","출발","168716"
"기타","제주","출발","0"
"수도권","서울","도착","2727886"
"영남권","부산","도착","524481"
"영남권","대구","도착","188609"
"수도권","인천","도착","641622"
"호남권","광주","도착","234760"
"충청권","세종","도착","326576"
"충청권","대전","도착","908460"
"영남권","울산","도착","176750"
"수도권","경기","도착","5055054"
"기타","강원","도착","1281678"
"충청권","충북","도착","2282543"
"충청권","충남","도착","2378267"
"호남권","전북","도착","1136717"
"호남권","전남","도착","712396"
"영남권","경북","도착","812770"
"영남권","경남","도착","430383"
"기타","제주","도착","0"
